record_id,food_name,category,purchase_date,freshness_at_scan,freshness_score,expected_days,actual_days_left,adjusted_days,storage_temp_c,humidity_pct,storage_location,packaging,was_wasted,city,month
1,butter,Dairy,2025-12-20,fresh,7,14,14,11,7.8,56.8,main_shelf,wrapped,False,Pune,Mar
2,salmon,Protein,2025-04-11,fresh,88,5,4,3,5.6,68.3,freezer,sealed_bag,False,Pune,Oct
3,beef,Protein,2025-12-07,moderate,77,2,2,2,2.4,89.0,main_shelf,sealed_bag,False,Delhi,Jun
4,mango,Fruit,2025-03-11,fresh,71,10,8,6,8.5,83.0,crisper,original_pack,False,Kolkata,Aug
5,peas,Vegetable,2025-03-07,spoiled,51,0,0,0,2.0,83.1,crisper,open,False,Bangalore,Apr
6,chicken,Protein,2025-09-09,moderate,40,2,1,1,1.9,63.3,main_shelf,open,False,Delhi,Jul
7,kiwi,Fruit,2025-08-20,moderate,51,3,3,3,1.1,85.9,counter,original_pack,False,Kolkata,Oct
8,strawberry,Fruit,2025-10-18,moderate,59,3,2,1,7.0,69.5,main_shelf,original_pack,False,Pune,Jan
9,egg,Protein,2025-08-16,spoiled,81,0,0,0,8.8,83.1,main_shelf,original_pack,False,Kolkata,Feb
10,peas,Vegetable,2025-10-16,fresh,24,8,5,3,8.9,63.6,freezer,wrapped,False,Chennai,Aug
11,tofu,Protein,2025-01-06,fresh,39,5,4,4,3.0,66.7,main_shelf,sealed_bag,False,Pune,Mar
12,almond,Nut,2025-12-08,spoiled,7,0,0,0,7.2,76.0,freezer,sealed_bag,True,Mumbai,Jul
13,cucumber,Vegetable,2025-05-10,fresh,34,8,4,3,9.0,59.0,main_shelf,original_pack,False,Kolkata,Sep
14,broccoli,Vegetable,2025-04-12,fresh,0,8,11,12,1.3,82.7,counter,original_pack,False,Bangalore,Jul
15,onion,Vegetable,2025-07-03,moderate,43,3,4,4,2.1,84.4,freezer,original_pack,False,Chennai,Oct
16,chicken,Protein,2025-10-03,fresh,24,5,4,3,4.2,79.8,freezer,open,False,Delhi,May
17,bread,Grain,2025-10-02,fresh,65,90,114,80,9.9,82.4,main_shelf,wrapped,False,Kolkata,Feb
18,pasta,Grain,2025-07-11,spoiled,78,0,0,0,1.2,63.0,door,sealed_bag,False,Hyderabad,Mar
19,strawberry,Fruit,2025-07-19,moderate,84,3,2,1,5.3,83.4,freezer,container,False,Mumbai,Mar
20,chicken,Protein,2025-02-03,fresh,80,5,3,2,4.5,77.7,counter,sealed_bag,False,Hyderabad,Nov
21,banana,Fruit,2025-05-05,spoiled,37,0,0,0,8.1,67.2,crisper,wrapped,True,Mumbai,Sep
22,almond,Nut,2025-09-18,fresh,77,365,338,358,2.8,67.0,main_shelf,sealed_bag,False,Delhi,Apr
23,milk,Dairy,2025-10-09,fresh,93,14,18,14,7.6,70.2,crisper,container,False,Bangalore,Jun
24,spinach,Vegetable,2025-10-05,fresh,70,8,6,5,6.1,70.3,door,original_pack,False,Chennai,Aug
25,broccoli,Vegetable,2025-03-18,fresh,81,8,10,11,1.2,89.5,counter,container,False,Delhi,Oct
26,broccoli,Vegetable,2025-04-19,spoiled,54,0,0,0,8.6,89.6,counter,wrapped,True,Mumbai,Jun
27,salmon,Protein,2025-08-04,fresh,70,5,6,5,4.6,56.8,counter,sealed_bag,False,Chennai,Jan
28,walnut,Nut,2025-08-07,moderate,35,90,96,98,3.5,77.0,door,container,False,Pune,Jul
29,pasta,Grain,2025-10-19,fresh,33,90,123,117,4.9,78.6,freezer,open,False,Bangalore,Dec
30,mango,Fruit,2025-07-19,fresh,6,10,12,10,6.8,89.9,crisper,original_pack,False,Hyderabad,Aug
31,orange,Fruit,2025-12-15,fresh,13,10,13,13,2.9,75.9,door,wrapped,False,Bangalore,Jun
32,peas,Vegetable,2025-12-17,fresh,54,8,6,5,6.9,58.1,crisper,open,False,Bangalore,Aug
33,pasta,Grain,2025-05-07,fresh,47,90,94,77,7.5,62.2,counter,wrapped,False,Hyderabad,Sep
34,cucumber,Vegetable,2025-01-11,fresh,100,8,11,8,9.3,68.0,freezer,wrapped,False,Kolkata,Dec
