food_name,category,serving_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,vitamin_c_mg,iron_mg,calcium_mg,potassium_mg,glycemic_index,water_content_pct,source
bread,Grain,50,244.86,8.68,46.83,3.32,2.78,26.28,18.3,33.8,0.22,69.5,327.9,13,56.1,NIN
avocado,Fruit,150,162.29,2.1,8.29,15.73,7.22,2.17,31.9,76.6,1.41,32.4,103.2,54,59.9,USDA
chickpeas,Legume,150,164.95,9.68,26.48,2.62,8.0,10.21,172.5,46.2,2.85,18.5,175.3,47,94.7,IFCT
mango,Fruit,150,57.87,0.82,14.68,0.39,1.53,2.77,187.4,51.8,2.48,55.5,451.0,30,47.1,WHO
bread,Grain,200,253.11,8.75,51.1,2.97,2.84,23.77,80.8,5.3,3.66,172.3,444.9,37,64.6,NIN
rice,Grain,150,194.23,4.05,46.76,0.4,0.62,11.85,117.1,29.0,3.99,45.8,321.4,16,83.4,IFCT
bread,Grain,75,277.38,8.89,45.58,3.14,2.91,15.79,194.2,68.9,0.14,217.6,424.9,78,73.3,WHO
pineapple,Fruit,100,49.48,0.5,14.05,0.11,1.35,4.18,36.6,73.0,3.5,93.0,401.4,87,23.1,WHO
walnut,Nut,75,658.12,15.67,14.07,59.81,6.51,0.65,185.9,70.3,3.34,95.7,81.9,82,91.2,USDA
chickpeas,Legume,150,172.29,9.69,27.14,2.44,7.79,15.37,33.9,42.2,2.47,289.5,560.9,35,69.9,NIN
pasta,Grain,100,217.82,8.02,40.39,1.24,2.44,15.38,46.8,17.6,0.38,191.2,175.9,14,83.2,USDA
yogurt,Dairy,75,96.46,16.96,6.04,0.73,0.0,2.29,49.4,37.8,1.69,32.8,412.4,55,43.5,NIN
chickpeas,Legume,50,168.55,9.7,25.27,2.56,7.4,14.03,50.5,15.2,1.85,129.5,203.2,41,84.6,USDA
zucchini,Vegetable,200,15.91,1.23,3.12,0.28,0.93,1.52,48.0,32.5,1.98,260.1,546.3,31,39.5,NIN
carrot,Vegetable,150,50.21,1.24,12.75,0.21,2.87,3.85,38.8,17.4,0.33,222.0,83.5,50,10.2,NIN
yogurt,Dairy,200,94.52,18.25,5.6,0.66,0.0,2.59,47.8,9.6,3.57,77.6,377.0,89,12.5,WHO
carrot,Vegetable,75,53.41,1.16,11.84,0.19,2.87,3.65,185.9,74.9,0.14,188.2,359.6,22,11.7,IFCT
yogurt,Dairy,100,94.12,16.59,5.59,0.67,0.0,1.86,109.1,24.2,3.94,243.1,340.9,80,32.2,USDA
lemon,Fruit,100,27.22,1.03,9.38,0.29,2.85,4.15,41.5,50.7,1.13,149.1,547.9,16,13.4,NIN
broccoli,Vegetable,50,50.63,3.86,11.45,0.58,5.3,3.93,86.1,0.8,0.39,265.5,547.2,79,8.3,WHO
beef,Protein,200,235.92,24.45,0.0,18.09,0.0,0.07,179.9,16.8,1.07,35.3,479.1,62,93.6,IFCT
tomato,Vegetable,75,37.67,1.68,8.17,0.37,2.49,1.87,186.2,64.2,3.47,244.2,196.7,23,39.8,USDA
milk,Dairy,75,141.84,8.54,11.71,8.41,0.0,1.99,132.3,31.9,1.19,25.5,475.3,54,63.4,NIN
oats,Grain,200,378.49,15.72,69.98,6.73,10.74,38.96,8.6,47.7,1.45,237.0,290.0,75,15.5,IFCT
carrot,Vegetable,50,53.74,1.1,13.14,0.2,2.9,5.6,134.5,29.1,0.37,201.0,231.6,50,65.4,USDA
chickpeas,Legume,100,164.19,9.24,26.25,2.68,7.67,3.51,133.3,30.3,3.02,56.3,363.0,61,54.9,USDA
lettuce,Vegetable,100,14.3,1.46,2.95,0.19,1.29,1.34,102.7,63.5,3.84,222.1,412.4,46,51.9,WHO
