observation_id,food_name,ground_truth,predicted,h_mean,s_mean,v_mean,h_std,s_std,v_std,dark_ratio,texture_score,freshness_score,ambient_temp_c,humidity_pct,scan_date,location
1,spinach,moderate,fresh,29.97,86.54,146.19,13.05,24.3,24.3,0.0,0.567,74.7,3.0,90.1,2025-07-13,Mumbai
2,pineapple,fresh,fresh,42.63,165.35,170.61,9.09,18.61,18.6,0.0097,0.45,86.8,7.4,67.2,2025-04-10,Bangalore
3,lentils,moderate,moderate,27.42,42.17,86.88,8.88,21.96,25.94,0.0686,0.379,63.6,3.2,85.1,2025-08-09,Mumbai
4,apple,spoiled,fresh,14.74,21.75,126.64,7.55,20.2,20.73,0.013,0.644,75.3,3.5,71.5,2025-10-16,Bangalore
5,cauliflower,moderate,fresh,19.56,92.77,101.23,10.75,23.2,24.12,0.0,0.893,82.2,4.7,84.5,2025-12-26,Delhi
6,corn,moderate,fresh,18.98,136.31,129.66,7.88,27.47,21.34,0.0,0.324,88.1,7.4,85.7,2025-08-13,Pune
7,pear,moderate,fresh,27.09,41.01,96.8,10.39,27.22,25.51,0.024,0.139,67.3,7.3,65.5,2025-11-18,Delhi
8,pasta,spoiled,moderate,18.84,30.48,40.43,8.56,13.62,23.17,0.3067,0.296,49.3,5.0,94.7,2025-09-04,Delhi
9,watermelon,moderate,fresh,28.44,45.92,138.1,9.23,22.97,26.84,0.0112,0.469,78.6,3.0,67.3,2025-01-15,Chennai
10,watermelon,moderate,fresh,35.31,113.28,109.02,9.38,25.99,27.93,0.0,0.409,83.0,4.4,66.8,2025-01-01,Delhi
11,pineapple,moderate,fresh,20.21,85.36,102.34,7.61,27.44,29.07,0.0068,0.518,72.2,4.8,62.9,2025-11-08,Pune
12,zucchini,fresh,fresh,29.42,170.07,187.23,6.71,21.08,24.61,0.0137,0.254,94.8,2.1,63.5,2025-05-04,Hyderabad
13,almond,fresh,fresh,29.71,181.29,127.61,9.64,20.26,19.1,0.0105,0.71,78.9,2.9,72.5,2025-04-23,Chennai
