session_id,scan_date,scan_time,user_city,total_items,fresh_count,moderate_count,spoiled_count,total_calories,total_protein_g,avg_freshness_pct,scan_duration_sec,items_discarded,recipe_suggested,fridge_temp_c,fridge_humidity,device_type
1,2025-09-10,20:02,Kolkata,9,6,3,0,1099.4,26.8,23.2,1.06,0,False,6.1,76.2,uploaded
2,2025-06-07,21:12,Hyderabad,6,3,0,3,304.2,71.0,59.4,3.86,1,True,7.2,56.5,uploaded
3,2025-05-15,21:03,Pune,3,0,1,2,1437.4,49.8,59.3,3.73,0,True,1.0,72.7,uploaded
4,2025-09-22,11:32,Pune,6,3,3,0,1370.3,106.7,60.8,2.51,0,True,3.6,85.9,uploaded
5,2025-03-16,07:19,Pune,11,10,0,1,1758.1,50.6,60.8,1.43,1,True,4.0,82.2,uploaded
6,2025-11-10,09:42,Hyderabad,12,2,2,8,1297.4,60.2,65.3,0.53,1,True,4.9,73.6,fridge_cam
7,2025-10-18,17:56,Pune,11,11,0,0,665.3,109.9,94.0,2.43,0,False,7.3,73.7,phone_camera
8,2025-09-13,20:58,Pune,7,6,1,0,1341.9,52.6,33.7,1.26,0,False,5.9,81.2,uploaded
9,2025-11-20,21:40,Pune,7,0,5,2,746.6,80.4,59.8,3.04,0,True,4.1,61.1,fridge_cam
10,2025-03-14,22:33,Bangalore,6,3,0,3,241.6,119.2,26.0,3.25,2,False,4.8,77.3,phone_camera
11,2025-05-27,11:07,Kolkata,10,3,1,6,1060.4,47.2,93.7,1.45,4,False,7.8,63.8,phone_camera
12,2025-08-08,07:22,Pune,4,3,0,1,1755.2,62.5,52.6,0.61,1,True,7.5,70.4,fridge_cam
13,2025-02-11,20:28,Delhi,9,4,0,5,931.3,52.5,28.8,2.65,3,False,6.9,67.0,phone_camera
14,2025-03-09,16:35,Kolkata,8,5,2,1,959.4,60.0,65.8,2.5,0,False,2.1,89.4,uploaded
15,2025-01-14,06:06,Delhi,10,9,1,0,1980.3,38.6,37.1,1.07,0,False,5.7,73.4,phone_camera
16,2025-09-22,22:24,Mumbai,12,2,3,7,479.2,81.2,39.0,2.77,6,True,4.9,86.3,webcam
17,2025-07-12,21:17,Pune,3,1,1,1,1198.4,71.6,43.4,2.22,0,False,6.8,75.3,uploaded
18,2025-11-12,06:41,Bangalore,5,3,0,2,256.6,90.3,31.1,2.0,1,False,5.5,56.3,uploaded
19,2025-01-19,08:00,Chennai,4,2,2,0,1275.1,57.3,46.7,2.83,0,False,3.4,65.9,phone_camera
20,2025-08-17,14:54,Bangalore,3,0,0,3,434.5,90.9,56.8,1.54,1,True,7.4,66.0,phone_camera
21,2025-11-27,12:03,Bangalore,8,8,0,0,1592.7,31.8,28.2,3.97,0,False,5.0,58.7,uploaded
22,2025-02-27,21:05,Mumbai,3,3,0,0,1404.1,37.8,67.9,1.75,0,False,2.9,60.2,uploaded
23,2025-05-27,15:48,Pune,9,4,1,4,945.0,25.4,52.3,2.9,2,True,6.9,89.1,fridge_cam
24,2025-02-03,19:00,Mumbai,10,7,2,1,1115.0,87.1,85.8,1.17,1,False,3.5,77.4,uploaded
25,2025-05-24,08:43,Delhi,8,2,0,6,1786.9,28.0,79.2,2.35,6,True,6.3,56.7,webcam
26,2025-04-01,13:40,Mumbai,9,4,5,0,1285.6,64.5,72.9,1.53,0,True,2.6,80.1,phone_camera
27,2025-06-22,20:33,Bangalore,12,11,1,0,1907.7,110.7,72.0,3.06,0,False,8.0,86.4,uploaded
28,2025-12-09,21:09,Kolkata,5,2,3,0,1762.1,91.3,58.2,2.82,0,True,4.9,55.4,uploaded
29,2025-10-19,20:35,Delhi,4,0,0,4,724.8,29.1,58.1,2.53,1,True,3.7,64.1,webcam
30,2025-07-12,22:22,Hyderabad,5,4,0,1,1045.7,95.2,92.6,3.53,0,False,4.6,57.5,fridge_cam
31,2025-06-25,22:47,Delhi,8,7,0,1,611.5,84.6,46.3,1.83,0,True,8.0,62.8,phone_camera
32,2025-12-28,20:44,Chennai,7,4,0,3,1125.4,12.2,84.0,1.26,1,False,5.3,65.2,fridge_cam
33,2025-11-09,16:39,Chennai,10,8,2,0,1536.4,33.0,71.8,3.41,0,True,1.5,58.5,webcam
34,2025-11-05,09:42,Hyderabad,5,3,1,1,341.7,38.2,77.6,3.91,0,False,5.4,71.0,uploaded
35,2025-08-01,17:41,Pune,3,2,0,1,235.9,54.2,29.8,2.84,0,False,3.8,87.6,phone_camera
36,2025-08-05,06:49,Bangalore,5,3,1,1,1291.5,15.8,75.4,0.64,0,False,5.2,73.1,uploaded
37,2025-11-07,19:53,Kolkata,8,2,5,1,551.3,72.2,28.2,2.32,1,False,2.9,85.3,phone_camera
38,2025-12-19,10:33,Mumbai,11,5,3,3,919.6,26.1,65.4,0.85,2,True,3.2,80.3,fridge_cam
39,2025-08-28,21:06,Delhi,5,3,1,1,1357.0,90.8,34.5,1.22,1,True,1.5,78.3,fridge_cam
40,2025-02-20,19:47,Chennai,10,5,3,2,1746.9,51.7,67.3,1.0,0,True,6.5,61.0,uploaded
41,2025-11-25,20:03,Kolkata,7,5,2,0,209.0,23.3,29.4,1.64,0,False,2.4,76.5,webcam
42,2025-07-20,12:10,Pune,8,3,3,2,1201.3,79.7,88.0,2.89,2,False,3.0,84.5,uploaded
43,2025-09-22,21:20,Mumbai,5,1,3,1,359.9,92.2,46.1,2.84,0,False,1.9,78.0,uploaded
44,2025-12-04,15:55,Pune,8,7,0,1,739.6,82.0,40.1,3.24,0,False,5.6,66.0,uploaded
45,2025-11-07,14:00,Hyderabad,5,5,0,0,1906.1,88.8,30.6,2.23,0,False,4.2,87.3,uploaded
46,2025-11-15,07:20,Pune,11,5,0,6,397.7,69.6,46.2,2.76,0,True,7.6,58.1,uploaded
47,2025-08-12,09:17,Delhi,10,2,0,8,1691.6,51.1,52.2,3.69,6,False,6.1,79.0,webcam
48,2025-12-09,13:17,Chennai,4,2,0,2,1583.7,10.1,33.9,2.79,1,False,3.6,65.6,fridge_cam
49,2025-12-15,12:46,Mumbai,9,6,2,1,1258.3,62.4,93.1,0.79,0,False,1.0,73.2,webcam
50,2025-01-20,15:57,Kolkata,5,1,1,3,967.2,87.3,28.8,2.96,0,False,6.9,84.3,fridge_cam
51,2025-04-27,06:20,Mumbai,6,6,0,0,1596.9,106.1,32.4,2.59,0,True,5.4,84.1,phone_camera
52,2025-10-26,18:07,Delhi,12,3,0,9,1761.8,62.7,84.4,0.68,6,True,3.8,56.9,uploaded
53,2025-10-02,14:07,Chennai,10,0,5,5,1028.2,102.4,68.0,2.88,3,False,5.7,58.6,fridge_cam
54,2025-10-20,18:43,Chennai,9,7,0,2,1189.1,39.8,51.5,0.74,0,True,5.2,87.6,phone_camera
55,2025-12-16,20:54,Hyderabad,3,3,0,0,1170.5,109.7,31.5,3.22,0,False,5.4,89.5,uploaded
56,2025-03-15,14:58,Hyderabad,11,10,1,0,537.3,86.6,20.9,3.23,0,False,1.5,66.4,uploaded
57,2025-02-26,12:54,Kolkata,8,5,0,3,1643.4,33.8,53.9,1.03,0,True,6.8,68.4,webcam
58,2025-09-06,15:48,Kolkata,7,0,2,5,930.3,113.2,68.2,3.41,0,True,4.1,69.7,fridge_cam
59,2025-11-26,12:42,Chennai,3,2,0,1,872.7,72.7,67.9,2.14,0,True,1.8,77.9,webcam
