waste_id,food_name,category,month,year,wasted_grams,wasted_calories,wasted_cost_inr,co2_kg,waste_reason,household_size,income_bracket,city,had_smart_fridge,prevented_by_ai
1,chickpeas,Legume,May,2024,156,255.8,5.38,0.157,quality_issue,1,low,Mumbai,False,True
2,egg,Protein,Jun,2024,154,120.1,25.87,0.602,forgotten,1,low,Chennai,False,False
3,tomato,Vegetable,May,2024,278,97.3,28.73,0.577,power_cut,4,medium,Hyderabad,False,False
4,chickpeas,Legume,Oct,2025,318,521.5,117.82,1.017,power_cut,5,high,Delhi,True,False
5,avocado,Fruit,Jun,2025,363,580.8,97.29,0.637,not_preferred,2,high,Mumbai,False,False
6,cheese,Dairy,Mar,2024,97,389.9,20.55,0.173,over_purchased,1,high,Pune,False,True
7,corn,Vegetable,May,2024,486,418.0,89.89,0.67,not_preferred,5,low,Hyderabad,True,True
8,bell_pepper,Vegetable,May,2025,132,40.9,39.69,0.275,forgotten,4,low,Kolkata,False,False
9,pasta,Grain,May,2024,293,644.6,21.13,1.361,quality_issue,4,medium,Pune,False,False
10,corn,Vegetable,Aug,2025,180,154.8,11.77,0.208,improper_storage,5,low,Bangalore,False,True
11,onion,Vegetable,Jul,2024,51,20.4,5.31,0.075,over_purchased,5,low,Mumbai,False,False
12,mushroom,Vegetable,Mar,2024,433,95.3,65.97,0.811,power_cut,6,low,Kolkata,True,False
13,salmon,Protein,Jun,2025,421,875.7,166.5,1.09,expired,4,medium,Pune,False,False
14,orange,Fruit,Apr,2024,85,52.7,11.14,0.391,quality_issue,3,medium,Chennai,False,False
15,cheese,Dairy,Dec,2024,408,1640.2,99.8,0.86,quality_issue,5,high,Mumbai,False,True
16,tuna,Protein,Aug,2024,51,67.3,16.77,0.169,forgotten,3,high,Pune,True,True
17,butter,Dairy,Dec,2025,478,3427.3,54.08,1.852,expired,6,high,Hyderabad,False,False
18,tofu,Protein,Aug,2025,135,102.6,48.29,0.208,not_preferred,5,medium,Mumbai,True,True
19,cauliflower,Vegetable,Oct,2025,32,8.0,7.26,0.156,improper_storage,3,low,Pune,True,False
20,walnut,Nut,Sep,2025,308,2014.3,66.0,1.47,expired,6,low,Pune,True,False
21,avocado,Fruit,Jan,2025,368,588.8,88.85,1.275,over_purchased,3,low,Hyderabad,True,False
22,lentils,Legume,Nov,2024,454,526.6,130.92,1.276,over_purchased,1,medium,Delhi,True,False
23,orange,Fruit,Jan,2025,159,98.6,12.48,0.716,over_purchased,3,low,Mumbai,True,False
24,yogurt,Dairy,Aug,2024,289,289.0,77.48,1.321,quality_issue,5,low,Chennai,True,False
25,zucchini,Vegetable,Oct,2024,349,59.3,46.12,1.595,power_cut,1,low,Delhi,True,False
26,carrot,Vegetable,Mar,2025,205,106.6,8.92,0.792,not_preferred,3,high,Pune,False,True
27,corn,Vegetable,Jan,2024,396,340.6,139.63,0.305,over_purchased,1,high,Bangalore,False,False
28,grape,Fruit,Oct,2025,137,94.5,51.17,0.539,quality_issue,6,medium,Hyderabad,True,True
29,cucumber,Vegetable,May,2024,142,22.7,39.5,0.597,improper_storage,6,high,Hyderabad,True,True
30,garlic,Vegetable,Sep,2025,291,433.6,100.09,0.47,power_cut,4,high,Pune,True,False
31,cream,Dairy,Sep,2025,367,1247.8,119.65,0.598,not_preferred,1,low,Chennai,True,True
32,spinach,Vegetable,Apr,2025,291,66.9,49.6,0.566,quality_issue,1,high,Bangalore,True,False
33,blueberry,Fruit,Apr,2025,115,65.5,17.67,0.246,quality_issue,1,low,Mumbai,False,True
34,lentils,Legume,Mar,2025,164,190.2,33.4,0.739,improper_storage,4,high,Delhi,False,False
35,strawberry,Fruit,Jul,2024,378,185.2,123.38,1.124,over_purchased,3,medium,Hyderabad,False,True
36,yogurt,Dairy,Jan,2024,445,445.0,160.29,0.871,quality_issue,4,medium,Hyderabad,False,False
37,cauliflower,Vegetable,Dec,2024,401,100.2,77.23,1.257,forgotten,3,high,Bangalore,False,True
38,tuna,Protein,Oct,2024,107,141.2,4.84,0.355,expired,2,medium,Pune,True,True
